patch_id,country
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Austria
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Austria
