patch_id,label
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Inland waters
