patch_id,s1_name
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_26_57
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_55
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_56
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_57
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_58
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_59
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_60
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_27_61
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_28_55
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_69
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_70
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_69
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_70
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_71
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_69
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_70
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_71
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_36_69
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_88
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_89
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_90
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_87
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_88
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_89
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_90
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_86
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_87
