patch_id,split
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,train
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,validation
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_26_57,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_55,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_56,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_57,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_58,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_59,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_60,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_27_61,test
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,test
